Class,Avg Hours Studied,Avg Grade
BILD3,6.22,2.75
BILD3,7.55,N/A
BILD3,7.47,N/A
BILD3,4.87,2.72
BILD3,5.8,2.72
BILD3,5.55,2.63
BILD3,5.31,2.63
BILD3,6.72,2.53
BILD3,4.66,2.76
BILD3,4.55,2.61
BILD3,4.16,2.61
BILD3,7.36,N/A
BILD3,6.97,N/A
BILD3,3.83,2.55
BILD3,4.96,2.61
BILD3,4.29,2.61
BILD3,4.52,2.61
BILD3,4.46,2.75
BILD3,3.92,2.59
BILD3,4.01,2.60
BILD3,3.96,2.60
BILD3,4.73,2.56
BILD3,5.1,2.70
BILD3,4.14,2.74
BILD3,4.31,2.74
BILD3,4.06,2.79
BILD3,4.15,2.79
BILD3,4.05,2.78
BILD4,3.07,N/A
BILD4,3.05,N/A
BILD4,3.32,N/A
BILD4,3.5,3.69
BILD4,2.83,3.69
BILD4,4.21,3.73
BILD4,3.66,3.78
BILD4,3.18,3.52
BILD4,3.5,3.60
BILD4,3.14,3.43
BILD4,3.69,3.56
BILD4,3.72,3.58
BILD4,3.81,3.58
BILD4,3.34,3.60
BILD4,5.8,N/A
BILD4,3.9,3.45
BILD4,3.87,3.62
BILD4,3.94,3.65
BILD4,3.22,3.46
BILD4,3.55,3.52
BILD4,3.94,3.76
BILD4,4.37,3.73
BILD4,3.43,3.76
BILD4,4.07,3.46
BILD4,3.59,3.34
BILD4,3.06,3.24
BILD4,0.68,N/A
BILD4,2.84,3.32
BILD4,2.99,3.43
BILD4,3.15,N/A
BILD4,2.4,3.33
BILD4,3.03,3.23
BILD4,1.1,N/A
BILD4,3.63,3.47
BILD4,4.32,N/A
BIMM101,9.0,N/A
BIMM101,4.76,N/A
BIMM101,6.09,N/A
BIMM101,5.04,N/A
BIMM101,7.88,N/A
BIMM101,5.12,N/A
BIMM101,4.5,3.45
BIMM101,6.85,3.12
BIMM101,5.46,3.60
BIMM101,8.72,3.51
BIMM101,6.23,3.22
BIMM101,6.74,3.32
BIMM101,6.67,3.21
BIMM101,9.05,3.59
BIMM101,8.14,3.22
BIMM101,7.25,3.33
BIMM101,5.67,3.92
BIMM101,7.26,3.44
BIMM101,6.41,3.69
BIMM101,6.11,3.36
BIMM101,6.41,3.60
BIMM101,7.27,3.41
BIMM101,6.41,3.76
BIMM101,5.76,3.49
BIMM101,5.45,3.27
BIMM101,5.91,3.42
BIMM101,5.38,3.34
BIMM101,6.29,3.38
BIMM101,8.19,2.95
BIMM101,6.46,3.67
BIMM101,7.26,3.33
BIMM101,6.67,3.53
BIMM101,6.69,3.11
BIMM101,9.43,3.19
BIMM101,7.47,N/A
BIMM101,8.6,N/A
BIMM101,8.6,N/A
BIMM101,10.07,3.27
BIMM101,5.63,3.55
BIMM101,5.83,3.33
BIMM101,5.55,3.34
BIMM101,5.0,3.45
BIMM101,7.67,3.53
BIMM101,7.2,3.22
BIMM101,6.81,2.96
BIMM101,6.54,3.18
BIMM101,6.31,3.34
BIMM101,7.02,3.75
BIMM101,7.21,3.37
BIMM101,6.84,3.46
BIMM101,6.5,3.34
BIMM101,5.55,3.67
BIMM101,5.48,3.47
BIMM101,6.78,3.41
BIMM101,6.03,3.47
BIMM101,5.86,3.46
BIMM101,10.83,3.09
BIMM101,7.12,3.10
BIMM101,4.69,3.51
BIMM101,6.5,3.19
BIMM101,5.82,3.43
BIMM101,5.78,3.42
BIMM101,7.05,3.25
BIMM101,7.65,3.27
BIMM101,4.38,3.38
BIMM101,6.87,3.25
BIMM101,5.57,3.32
BIMM101,5.39,3.49
BIMM101,7.77,3.77
BIMM101,5.4,3.50
BIMM101,6.85,3.40
BIMM101,7.15,3.05
BIMM101,7.32,3.60
BIMM101,5.91,3.35
BIMM101,6.12,3.36
BIMM101,5.64,3.50
BIMM101,8.96,3.07
BIMM101,8.77,3.60
BIMM101,7.63,3.55
BIMM101,5.5,3.31
BIMM101,4.5,3.59
BIMM101,3.4,3.20
BIMM101,4.9,3.03
BIMM101,5.86,3.19
BIMM101,4.71,3.64
BIMM101,6.32,3.64
BIMM101,5.06,3.40
BIMM101,5.36,3.40
BIMM101,5.36,2.89
BIMM101,5.17,3.10
BIMM101,7.17,3.16
BIMM101,7.13,3.30
BIMM101,8.2,3.69
BIMM101,5.37,3.29
BIMM101,3.83,3.57
BIMM101,8.25,3.26
BIMM101,5.21,3.31
BIMM101,6.27,3.66
BIMM101,5.41,3.31
BIMM101,5.06,3.09
BIMM101,5.59,3.88
BIMM101,7.97,3.39
BIMM101,5.83,3.43
BIMM101,4.4,3.37
BIMM101,5.55,3.16
BIMM101,5.26,3.16
BIMM101,8.74,3.28
BIMM101,6.66,3.27
BIMM101,4.58,3.09
BIMM101,5.77,3.44
BIMM101,4.76,3.44
BIMM101,4.37,3.13
BIMM101,6.07,3.34
BIMM101,5.42,3.37
BIMM101,4.92,3.11
BIMM101,7.75,2.97
BIMM101,10.5,3.36
BIMM101,7.5,3.84
BIMM101,6.26,3.22
BIMM101,6.8,3.55
BIMM101,4.5,3.08
BIMM101,7.61,3.16
BIMM101,5.68,3.27
BIMM101,6.85,2.90
BIMM101,7.03,3.41
BIMM101,7.31,3.32
BIMM101,5.94,3.27
BIMM101,6.15,3.11
BIMM101,7.95,2.74
BIMM101,8.72,3.48
BIMM101,5.91,3.25
BIMM101,6.55,2.95
BIMM101,10.15,3.21
BIMM101,8.17,3.38
BIMM101,5.5,3.07
BIMM101,5.06,3.43
BIMM101,7.97,3.13
BIMM101,6.7,3.58
BIMM101,6.5,2.93
BIMM101,5.36,3.30
BIMM101,6.2,N/A
BIMM101,9.42,N/A
BIMM101,5.46,3.27
BIMM101,5.2,3.11
BIMM101,5.99,2.96
BIMM101,5.0,3.28
BIMM101,5.3,3.41
BIMM101,4.2,3.10
BIMM101,6.36,3.28
BIMM101,5.79,3.43
BIMM101,3.93,3.32
BIMM101,4.12,3.46
BIMM101,3.83,3.16
BIMM101,6.79,N/A
BIMM101,4.3,3.36
BIMM101,4.08,2.94
BIMM101,4.27,3.09
BIMM101,4.44,3.36
BIMM101,4.27,3.16
BIMM101,4.5,3.32
BIMM101,5.32,3.13
BIMM101,5.59,2.92
BIMM101,3.92,3.38
BIMM101,5.69,3.10
BIMM101,4.13,3.17
BIMM101,6.02,3.42
BIMM101,5.19,3.11
BIMM101,4.39,3.28
BIMM101,4.43,3.38
BIMM101,5.08,3.60
BIMM101,5.08,3.60
BIMM101,5.36,3.18
BIMM101,5.0,3.14
BIMM101,5.03,3.27
BIMM101,5.05,3.49
BIMM110,7.06,N/A
BIMM110,4.69,N/A
BIMM110,6.03,3.38
BIMM110,5.66,3.25
BIMM110,6.19,3.32
BIMM110,5.29,3.46
BIMM110,6.01,3.24
BIMM110,6.5,3.40
BIMM110,4.62,3.34
BIMM110,6.65,2.92
BIMM110,5.71,3.27
BIMM110,6.53,3.73
BIMM110,5.53,3.15
BIMM110,6.25,3.45
BIMM110,6.17,3.42
BIMM110,5.17,3.34
BIMM110,5.86,3.11
BIMM110,6.44,3.60
BIMM110,6.03,3.17
BIMM110,5.75,2.95
BIMM110,5.82,3.23
BIMM110,4.5,3.02
BIMM110,4.6,3.02
BIMM110,5.12,3.03
BIMM110,5.7,3.10
BIMM110,6.63,2.92
BIMM110,6.12,2.92
BIMM110,6.12,2.70
BIMM110,5.78,2.59
BIMM110,5.97,2.97
BIMM110,6.42,2.84
BIMM110,6.22,2.84
BIMM110,5.19,3.02
BIMM110,4.8,3.04
BIMM110,4.98,3.35
BIMM110,5.15,3.06
BIMM110,5.27,2.66
BIMM110,4.76,3.24
BIMM110,4.96,2.59
BIMM110,5.19,3.05
BIPN100,7.64,N/A
BIPN100,7.84,N/A
BIPN100,8.26,2.88
BIPN100,7.23,3.03
BIPN100,8.47,2.73
BIPN100,9.92,2.52
BIPN100,6.98,2.97
BIPN100,6.88,2.70
BIPN100,7.07,2.60
BIPN100,6.55,2.60
BIPN100,8.26,2.89
BIPN100,7.35,2.76
BIPN100,9.5,2.67
BIPN100,6.41,3.00
BIPN100,6.5,3.00
BIPN100,6.35,2.55
BIPN100,7.33,3.25
BIPN100,7.61,2.94
BIPN100,6.54,2.86
BIPN100,6.88,2.74
BIPN100,12.5,2.68
BIPN100,6.7,2.63
BIPN100,7.85,3.03
BIPN100,6.48,2.46
BIPN100,6.95,2.73
BIPN100,7.94,2.72
BIPN100,7.25,2.74
BIPN100,11.42,2.87
BIPN100,8.83,2.69
BIPN100,7.66,2.92
BIPN100,6.95,2.70
BIPN100,6.59,3.35
BIPN100,8.22,2.55
BIPN100,11.23,2.75
BIPN100,8.04,2.47
BIPN100,7.98,2.83
BIPN100,7.73,2.47
BIPN100,6.88,3.49
BIPN100,8.32,2.63
BIPN100,12.1,2.80
BIPN100,6.92,2.61
BIPN100,7.55,2.62
BIPN100,6.29,3.25
BIPN100,7.45,2.73
BIPN100,7.91,2.81
BIPN100,11.08,2.70
BIPN100,8.17,2.83
BIPN100,8.47,2.84
BIPN100,7.97,3.22
BIPN100,7.94,2.66
BIPN100,8.31,2.65
BIPN100,11.28,2.54
BIPN100,8.08,2.56
BIPN100,7.63,2.63
BIPN100,7.96,2.13
BIPN100,7.68,2.60
BIPN100,7.75,2.64
BIPN100,11.5,N/A
BIPN100,7.85,2.60
BIPN100,7.14,2.60
BIPN100,7.01,3.15
BIPN100,8.08,2.48
BIPN100,6.9,2.54
BIPN100,6.15,2.67
BIPN100,9.89,N/A
BIPN100,6.14,2.56
BIPN100,6.71,2.56
BIPN100,6.66,3.04
BIPN100,7.2,2.56
BIPN100,7.43,2.71
BIPN100,5.97,2.44
BIPN100,5.71,2.44
BIPN100,6.35,2.58
BIPN100,5.52,2.65
BIPN100,6.48,2.62
BIPN102,6.05,N/A
BIPN102,7.69,3.06
BIPN102,7.77,3.17
BIPN102,5.76,3.25
BIPN102,6.76,3.23
BIPN102,7.61,3.03
BIPN102,6.95,3.13
BIPN102,7.16,2.88
BIPN102,6.65,3.41
BIPN102,7.15,3.07
BIPN102,7.34,3.10
BIPN102,6.12,3.00
BIPN102,7.21,2.99
BIPN102,7.0,2.96
BIPN102,5.59,3.37
BIPN102,7.7,2.93
BIPN102,7.19,2.84
BIPN102,5.7,2.79
BIPN102,7.16,2.80
BIPN102,8.07,2.74
BIPN102,6.29,3.03
BIPN102,7.77,2.71
BIPN102,7.0,2.51
BIPN102,5.23,3.14
BIPN102,7.77,2.76
BIPN102,6.56,2.69
BIPN102,7.06,2.69
BIPN102,5.97,3.06
BIPN102,5.61,3.14
BIPN102,5.77,2.90
BIPN102,4.73,2.90
BIPN102,4.41,2.96
BIPN102,5.76,3.22
BIPN102,6.14,3.07
BIPN102,4.42,2.87
