State,County,FFRPTH14,PCT_NHWHITE10,PCT_NHBLACK10,PCT_DIABETES_ADULTS13,PCT_OBESE_ADULTS13,MEDHHINC15,POVRATE15,FMRKTPTH16
AR,Chicot,0.447227191,40.34745763,53.78813559,15.2,43.1,29968,31.4,0.091365921
AR,Clark,0.841601701,70.3500761,23.33550772,11.6,34.3,37856,22.5,0.04413647
AR,Clay,0.595316841,96.8538208,0.348193745,11.1,33.7,35324,20.8,0.067024129
AR,Cleburne,0.624171023,95.8567578,0.257989988,13.5,31.8,43913,15.6,0.039582014
AR,Cleveland,0.118357202,85.09609852,12.11877086,13,35.7,44123,18.1,0.121344497
AR,Columbia,0.919232858,59.24160964,36.68132942,12.9,36.4,38057,23.8,0.041839254
AR,Conway,0.33202106,82.41902882,11.16908758,13.7,39.7,43702,17.8,0.047762335
AR,Craighead,0.741333229,79.59105378,13.02738405,13.1,36.4,42460,17.3,0.01889734
AR,Crawford,0.453830818,86.79860528,1.123522955,11.4,35.1,46545,14.4,0.016059871
AR,Crittenden,0.686203278,45.2398727,50.98620879,15.8,38.8,37371,25.9,0
AR,Cross,0.696580949,74.66703973,22.19362059,13.6,37.9,39132,21.5,0.05869578
AR,Dallas,0.386847195,54.12764909,41.84327255,14.4,36.2,33352,21.3,0
AR,Desha,0.733855186,46.76353014,47.47847478,15.1,39.6,30987,30.9,0
AR,Drew,0.805498872,68.00475444,27.76487114,13.6,34.3,39339,21.2,0
AR,Faulkner,0.654146794,82.41652463,10.15127564,11.2,33.2,51157,14.8,0.040907492
AR,Franklin,0.336983993,93.77655172,0.684137931,13.8,37.1,41933,18.2,0
AR,Fulton,0.329896907,96.40669661,0.318497346,15.6,32.9,34717,19.4,0
AR,Garland,0.873389367,83.95921853,7.864700492,14.5,32.3,37723,19.3,0.030776491
AR,Grant,0.330687831,94.10743292,2.156500308,11.1,38.3,47652,13.2,0.055303617
AR,Greene,0.64082025,95.42884296,0.55119981,12.9,31.2,43996,17.1,0.02242253
AR,Hempstead,0.492677028,56.48193197,29.29364412,13.5,40.3,34560,24.1,0.091016656
AR,Hot Spring,0.419563654,84.14482277,10.76451113,12.2,34.7,39851,20.8,0
AR,Howard,0.666666667,67.38704765,20.40031909,13.4,35.7,33199,18.7,0.074755177
AR,Independence,0.568197191,89.81362731,1.934674052,13.1,37.2,38241,18,0
AR,Izard,0.222452914,94.96203271,1.277745327,15.5,33.9,35355,19.8,0.074443535
AR,Jackson,0.513288468,78.7909096,16.60276713,12.9,37.2,32571,27.5,0.058068637
AR,Jefferson,0.774582624,41.38955253,54.86537096,15.4,40.7,36990,26.5,0.01428245
AR,Johnson,0.422995578,83.5082224,1.315583399,12.5,36.4,35877,21.8,0.076405868
AR,Lafayette,0.421881592,59.94767822,37.10922171,15.3,36.3,33864,22.7,0
AR,Lawrence,0.35437954,96.74418605,0.769451622,13.2,31.8,34808,23.7,0.119510009
AR,Lee,0.304259635,41.44282425,55.06523408,13.1,35.7,28481,35.9,0.107411386
AR,Lincoln,0.357909807,65.77048252,29.79340597,12.3,37.5,40216,25.1,0
AR,Little River,0.478774338,74.64125731,19.04183433,12.9,32.7,39265,19.9,0.080314834
AR,Logan,0.592039348,92.1934416,1.274996645,13.8,37.5,37924,20.5,0.137665198
AR,Lonoke,0.531045181,87.93375856,5.938030312,13.1,35.8,56240,11.9,0
AR,Madison,0.190597205,91.94502768,0.171788509,11.8,34,41007,18.8,0.06222001
AR,Marion,0.30549276,95.85660241,0.168137873,12.2,31.7,34946,18.8,0.061255743
AR,Miller,0.552638851,70.61571028,24.36381207,12.3,35.9,39005,22.3,0.045675657
AR,Mississippi,0.723409065,60.46901893,33.90920826,15.9,39.8,34888,26.3,0.04669079
AR,Monroe,0.659456608,55.82280034,40.66756657,17.2,37.5,30801,30.9,0
AR,Montgomery,0.440431623,92.82175609,0.179192579,14.3,33.8,37813,21.8,0.112625296
AR,Nevada,0.343918377,65.14393687,30.65466267,13.9,36,35914,24,0.11907597
AR,Newton,0.126518219,94.76590636,0.06002401,12.8,34.2,33679,24.2,0.252016129
AR,Ouachita,0.644433704,56.30168453,39.94640123,14.8,34.8,37987,22.8,0.04149722
AR,Perry,0.09760859,93.62374342,1.876495931,12.2,37.5,43020,16.8,0.098697197
AR,Phillips,0.351229303,34.63253206,62.74762146,16.7,45.5,28224,37.3,0.105401845
AR,Pike,0.453555878,88.23841998,2.896111948,12.4,37.8,36266,18.5,0.092319055
AR,Poinsett,0.701146581,89.00866452,7.175690518,13.8,38.4,32756,23.9,0.041626774
AR,Polk,0.395550062,89.77349724,0.261349337,13.9,36.7,34723,24.4,0.099142418
AR,Pope,0.822771792,86.90449202,2.830585873,11.2,32.1,41074,20.8,0.031358284
AR,Prairie,0.120423892,85.71428571,12.17441193,14.3,36.3,39518,19.6,0
AR,Pulaski,0.875982297,55.30975995,34.81193893,12,31.7,46473,19.4,0.027972028
AR,Randolph,0.455295658,95.86510101,0.712337915,12.7,35.3,34730,17.6,0.057313159
AR,St. Francis,0.371761032,42.37030222,51.5429259,16.4,42.5,31625,30.7,0.038173767
AR,Saline,0.553063888,88.96543998,4.616404339,11.8,32.5,56926,10.7,0.008424387
AR,Scott,0.374076499,85.34674619,0.454019407,11.4,32.5,36028,20.8,0.194609322
AR,Searcy,0.504477235,95.1799878,0.036607688,13.4,35,30427,22.2,0.125517761
AR,Sebastian,0.757241118,72.83448912,6.241252068,12.9,36.9,41452,22.1,0.023475464
AR,Sevier,0.401698611,61.06225818,4.203306367,12.2,36.7,41848,20.8,0
AR,Sharp,0.532355377,94.98957368,0.527108434,15.2,37.3,32095,24.6,0.058285248
AR,Stone,0.800384184,96.11102146,0.088752622,12.7,32.6,32023,21.5,0.159502353
AR,Union,0.671190991,61.77381782,32.83940537,13.5,39.4,42195,19.7,0.025070825
AR,Van Buren,0.356061955,94.14281584,0.375831165,12.9,35.6,38306,19,0.060139524
AR,Washington,0.711076488,74.13685273,2.87001699,9.1,30.6,46418,16.9,0.021925113
AR,White,0.763436482,89.55576314,3.935077067,10.1,36.3,42508,19.7,0.025232454
AR,Woodruff,0.578871201,69.43526171,27.39669421,14.7,35.8,31013,25.8,0
AR,Yell,0.4100041,76.71850349,1.298174442,12.9,37.1,37415,17.8,0
CA,Alameda,0.767262951,34.0706403,12.19158681,8.5,20,81462,11.5,0.021241679
CA,Alpine,1.792114695,72.5106383,0,10.3,23.4,50882,19,0
CA,Amador,0.381035327,79.61198183,2.462523956,10.2,25.5,55879,13.1,0.107000508
CA,Butte,0.66446368,75.18909091,1.424090909,10.2,25.9,45369,21.4,0.035263418
CA,Calaveras,0.649874507,83.53591645,0.77888455,10,23.5,52471,13,0.066414292
CA,Colusa,0.420187684,39.79644241,0.784350343,9.6,25.4,51118,13.2,0.092644062
CA,Contra Costa,0.579481148,47.75129287,8.922952265,9.4,25,83036,10.2,0.022023967
CA,Del Norte,0.367484933,64.70814401,3.379937085,8.4,25.5,38963,23.3,0.036310821
CA,El Dorado,0.589883498,79.91306653,0.715792729,7.5,20.6,75575,9.1,0.053872054
CA,Fresno,0.620099506,32.72846472,4.836906873,9.4,26.6,46608,25.2,0.01530745
CA,Glenn,0.500804865,55.88862812,0.682739492,8.4,26.7,43584,18.5,0.106818586
CA,Humboldt,0.682447018,77.22157432,1.034741463,8.8,25.5,40739,20.9,0.102454518
CA,Imperial,0.563959105,13.70954804,2.930188852,8.3,26.3,39925,24.3,0.011056871
CA,Inyo,0.760456274,66.30001078,0.549983824,9.4,23.3,51697,12.4,0.110229277
CA,Kern,0.628866816,38.56384531,5.404397884,9.3,30.3,51150,21.9,0.018083428
CA,Kings,0.578961729,35.21917611,6.741969643,7.5,26.4,46440,22.4,0.013352472
CA,Lake,0.514146828,74.13283848,1.834067888,10.1,26.2,37993,20.5,0.109177116
CA,Lassen,0.409461715,66.6857716,7.995414816,7.6,23.9,54670,17.1,0.03239391
CA,Los Angeles,0.770804328,27.78725695,8.301444044,9.1,21.4,59045,16.7,0.012329951
CA,Madera,0.50469757,38.03400391,3.320186922,7.9,26.5,46593,22.6,0.051713996
CA,Marin,0.70949185,72.83020811,2.623123581,7.9,18.9,99868,7.5,0.057548216
CA,Mariposa,0.452437507,83.23927456,0.706810586,10.7,24.4,44595,15.2,0.057438254
CA,Mendocino,0.591790051,68.58870004,0.619300782,8.4,22.4,43237,20.3,0.09129502
CA,Merced,0.484319681,31.90040384,3.434417674,9.2,29.5,42879,25.9,0.022332063
CA,Modoc,0.332483653,78.96964691,0.794961801,10.4,23.2,38402,20.3,0.113700966
CA,Mono,1.214545974,68.208703,0.295732995,7.4,22.8,53992,11.2,0.143051284
