title,year,metascore,domestic_gross
Hotel Transylvania 2,(2015),44,"169,700,110"
Hidden Figures,(2016),74,"169,607,287"
Bridesmaids,(I) (2011),75,"169,106,725"
Quantum of Solace,(2008),58,"168,368,427"
Wild Hogs,(2007),27,"168,273,550"
Kong: Skull Island,(2017),62,"168,052,812"
Gone Girl,(2014),79,"167,767,189"
Hotel Transylvania 3: Summer Vacation,(2018),54,"167,510,016"
Casino Royale,(2006),80,"167,445,960"
Meet the Parents,(2000),73,"166,244,045"
Fifty Shades of Grey,(2015),46,"166,167,230"
2012,(I) (2009),49,"166,112,167"
Kung Fu Panda 2,(2011),67,"165,249,063"
Hannibal,(2001),57,"165,092,268"
Catch Me If You Can,(2002),75,"164,615,351"
The Proposal,(I) (2009),48,"163,958,031"
The Pursuit of Happyness,(2006),64,"163,566,459"
Clash of the Titans,(2010),39,"163,214,888"
The SpongeBob Movie: Sponge Out of Water,(2015),62,"162,994,032"
Django Unchained,(2012),81,"162,805,434"
Jason Bourne,(2016),58,"162,434,410"
Grown Ups,(I) (2010),30,"162,001,186"
Ice Age: Continental Drift,(2012),49,"161,321,843"
Straight Outta Compton,(2015),72,"161,197,785"
Die Another Day,(2002),56,"160,942,139"
Shark Tale,(2004),48,"160,861,908"
How to Train Your Dragon: The Hidden World,(2019),71,"160,769,475"
The Heat,(I) (2013),60,"159,582,188"
Fantastic Beasts: The Crimes of Grindelwald,(2018),52,"159,555,901"
Halloween,(I) (2018),67,"159,342,015"
Star Trek Beyond,(2016),68,"158,848,340"
The Longest Yard,(2005),48,"158,119,460"
X-Men,(2000),64,"157,299,717"
Scary Movie,(2000),48,"157,019,771"
What Lies Beneath,(2000),51,"155,464,351"
X-Men: Apocalypse,(2016),52,"155,442,489"
Snow White and the Huntsman,(2012),57,"155,332,381"
San Andreas,(2015),43,"155,190,832"
Fast & Furious,(2009),46,"155,064,265"
Over the Hedge,(2006),67,"155,019,340"
Fantastic Four,(I) (2005),40,"154,696,080"
Horton Hears a Who!,(2008),71,"154,529,439"
Mad Max: Fury Road,(2015),90,"154,058,340"
Trolls,(2016),56,"153,707,064"
Scooby-Doo,(2002),35,"153,288,182"
Cars 3,(2017),59,"152,901,115"
Sex and the City,(2008),53,"152,647,258"
G.I. Joe: The Rise of Cobra,(2009),32,"152,267,519"
La La Land,(I) (2016),93,"151,101,803"
Divergent,(2014),48,"150,947,895"
We're the Millers,(2013),44,"150,394,119"
Terminator 3: Rise of the Machines,(2003),66,"150,371,112"
Daddy's Home,(2015),42,"150,357,137"
Neighbors,(I) (2014),68,"150,157,400"
American Hustle,(2013),90,"150,117,807"
Puss in Boots,(2011),65,"149,260,504"
Les Misérables,(2012),63,"148,809,770"
Knocked Up,(2007),85,"148,734,225"
Megamind,(2010),63,"148,415,853"
Little Fockers,(2010),27,"148,383,780"
Hotel Transylvania,(2012),47,"148,313,048"
Talladega Nights: The Ballad of Ricky Bobby,(2006),66,"148,213,377"
Gran Torino,(2008),72,"148,095,302"
War for the Planet of the Apes,(2017),82,"146,880,162"
X-Men: First Class,(2011),65,"146,408,305"
Lilo & Stitch,(2002),73,"145,794,338"
American Pie 2,(2001),43,"145,103,595"
Taken,(I) (2008),51,"145,000,989"
The Great Gatsby,(2013),55,"144,840,419"
"I, Robot",(2004),59,"144,801,023"
The Fast and the Furious,(2001),58,"144,533,925"
Mamma Mia!,(2008),51,"144,130,063"
Rio,(2011),63,"143,619,809"
Kung Fu Panda 3,(2016),66,"143,528,619"
Juno,(2007),81,"143,495,265"
Marley & Me,(2008),53,"143,153,751"
The Meg,(2018),46,"143,005,856"
The Smurfs,(2011),30,"142,614,158"
xXx,(2002),48,"142,109,382"
The Chronicles of Narnia: Prince Caspian,(2008),62,"141,621,490"
Rush Hour 3,(2007),44,"140,125,968"
Taken 2,(2012),45,"139,854,287"
Shazam!,(2019),70,"139,539,187"
Ocean's Eight,(2018),61,"139,377,762"
The Matrix Revolutions,(2003),47,"139,313,948"
The Santa Clause 2,(2002),48,"139,236,327"
The King's Speech,(2010),88,"138,797,449"
John Wick: Chapter 3 - Parabellum,(2019),73,"138,679,696"
Cheaper by the Dozen,(2003),46,"138,614,544"
Bad Boys II,(2003),38,"138,608,444"
21 Jump Street,(2012),69,"138,447,667"
Split,(IX) (2016),62,"138,291,365"
A Christmas Carol,(2009),55,"137,855,863"
Dinosaur,(2000),56,"137,748,063"
Ready Player One,(2018),64,"137,690,172"
Pokémon Detective Pikachu,(2019),53,"137,609,871"
The Conjuring,(2013),68,"137,400,141"
Click,(2006),45,"137,355,633"
Argo,(2012),86,"136,025,503"
