title,year,metascore,domestic_gross
Kate & Leopold,(2001),44,"47,121,859"
The Judge,(2014),48,"47,119,388"
Killers,(2010),21,"47,059,963"
Jersey Boys,(2014),54,"47,034,272"
Shooter,(I) (2007),53,"47,003,582"
Silent Hill,(2006),31,"46,982,632"
Final Destination 2,(2003),38,"46,961,214"
Sicario,(2015),82,"46,889,293"
Red Sparrow,(2018),53,"46,874,505"
How to Be Single,(2016),51,"46,813,366"
Boogeyman,(2005),32,"46,752,382"
"Dude, Where's My Car?",(2000),30,"46,729,800"
Goosebumps 2: Haunted Halloween,(2018),53,"46,700,633"
Phone Booth,(2002),56,"46,566,212"
The Legend of Zorro,(2005),47,"46,464,023"
Arthur Christmas,(2011),69,"46,462,469"
The Best Exotic Marigold Hotel,(2011),62,"46,412,041"
Breaking In,(2018),42,"46,383,120"
Blended,(2014),31,"46,294,610"
Made of Honor,(2008),37,"46,012,734"
Mike and Dave Need Wedding Dates,(2016),51,"46,007,113"
Gangster Squad,(2013),40,"46,000,903"
Walking Tall,(2004),44,"45,860,039"
Snatched,(2017),45,"45,825,314"
Underworld: Rise of the Lycans,(2009),44,"45,802,315"
Five Feet Apart,(2019),53,"45,729,221"
Saw 3D: The Final Chapter,(2010),24,"45,710,178"
College Road Trip,(2008),36,"45,588,608"
The Tigger Movie,(2000),53,"45,554,533"
The Great Wall,(I) (2016),42,"45,540,830"
"O Brother, Where Art Thou?",(2000),69,"45,512,588"
Moonrise Kingdom,(2012),84,"45,512,466"
12 Strong,(2018),54,"45,495,662"
In Good Company,(2004),66,"45,489,752"
The Man from U.N.C.L.E.,(2015),56,"45,445,109"
Here Comes the Boom,(2012),40,"45,290,318"
Domestic Disturbance,(2001),29,"45,246,095"
Wonder Park,(2019),45,"45,216,793"
Zoolander,(2001),61,"45,172,250"
The Giver,(2014),47,"45,089,048"
Hall Pass,(2011),45,"45,060,734"
Spotlight,(I) (2015),93,"45,055,776"
Smurfs: The Lost Village,(2017),40,"45,020,282"
Frequency,(2000),67,"45,010,278"
Going in Style,(2017),50,"45,003,463"
Den of Thieves,(2018),49,"44,947,622"
First Man,(2018),84,"44,936,545"
All Eyez on Me,(2017),38,"44,922,302"
xXx: Return of Xander Cage,(2017),42,"44,898,413"
Cop Out,(2010),31,"44,875,481"
Red Dawn,(2012),31,"44,806,783"
The Replacements,(2000),30,"44,737,059"
The Internship,(2013),42,"44,672,764"
The Artist,(I) (2011),89,"44,671,682"
Lost in Translation,(2003),89,"44,585,453"
Napoleon Dynamite,(2004),64,"44,540,956"
"McFarland, USA",(2015),60,"44,469,602"
The Three Stooges,(2012),56,"44,338,224"
47 Meters Down,(2017),52,"44,307,191"
Confessions of a Shopaholic,(2009),38,"44,277,350"
St. Vincent,(2014),64,"44,134,898"
The Sisterhood of the Traveling Pants 2,(2008),63,"44,087,387"
Hereditary,(2018),87,"44,069,456"
Speed Racer,(2008),37,"43,945,766"
The One,(2001),25,"43,905,746"
Must Love Dogs,(2005),46,"43,894,863"
Prom Night,(I) (2008),17,"43,869,350"
Soul Surfer,(2011),53,"43,853,424"
The Lovely Bones,(2009),42,"43,818,839"
License to Wed,(2007),25,"43,799,818"
The Gift,(VI) (2015),77,"43,771,291"
Underdog,(2007),37,"43,751,706"
Tears of the Sun,(2003),48,"43,734,876"
Under the Tuscan Sun,(2003),52,"43,610,723"
Cats & Dogs: The Revenge of Kitty Galore,(2010),30,"43,585,753"
Need for Speed,(2014),39,"43,577,636"
Acrimony,(2018),32,"43,549,096"
We Are Marshall,(2006),53,"43,545,364"
Everest,(2015),64,"43,482,270"
Year One,(2009),34,"43,337,279"
Edge of Darkness,(2010),55,"43,313,890"
Star Trek: Nemesis,(2002),51,"43,254,409"
Sherlock Gnomes,(2018),36,"43,242,871"
A Million Ways to Die in the West,(2014),44,"43,139,300"
No Reservations,(2007),50,"43,107,979"
Transporter 2,(2005),56,"43,095,600"
Reign of Fire,(2002),39,"43,061,982"
John Wick,(2014),68,"43,037,835"
The Night Before,(II) (2015),58,"43,035,725"
War Dogs,(2016),57,"43,017,433"
Rumor Has It...,(2005),35,"43,000,262"
Snitch,(I) (2013),51,"42,930,462"
The Big Sick,(2017),86,"42,872,467"
Gulliver's Travels,(2010),33,"42,779,261"
Rambo,(2008),46,"42,754,105"
Death at a Funeral,(2010),51,"42,739,347"
Because I Said So,(2007),26,"42,674,040"
The Lizzie McGuire Movie,(2003),56,"42,672,630"
The Unborn,(2009),30,"42,670,410"
Max,(I) (2015),47,"42,652,003"
Glory Road,(2006),58,"42,643,187"
Krampus,(I) (2015),49,"42,592,530"
Final Destination 5,(2011),50,"42,587,643"
The Age of Adaline,(2015),51,"42,478,175"
Uncle Drew,(2018),57,"42,469,946"
"Welcome Home, Roscoe Jenkins",(2008),46,"42,436,517"
Widows,(2018),84,"42,402,632"
Step Up 3D,(2010),45,"42,400,223"
Resident Evil: Retribution,(2012),39,"42,345,531"
Birdman or (The Unexpected Virtue of Ignorance),(2014),87,"42,340,598"
Lady in the Water,(2006),36,"42,285,169"
Drag Me to Hell,(2009),83,"42,100,625"
Planet 51,(2009),39,"42,086,887"
The Cabin in the Woods,(2011),72,"42,073,277"
Fever Pitch,(2005),56,"42,071,069"
Spanglish,(2004),48,"42,044,321"
Riddick,(2013),49,"42,025,135"
Dolphin Tale 2,(2014),58,"42,019,483"
A Dog's Way Home,(2019),50,"41,952,715"
Meet the Browns,(2008),45,"41,939,392"
Thir13en Ghosts,(2001),30,"41,867,960"
Nights in Rodanthe,(2008),39,"41,850,659"
Exorcist: The Beginning,(2004),30,"41,821,986"
Aliens vs. Predator: Requiem,(2007),29,"41,797,066"
The Hills Have Eyes,(2006),52,"41,778,863"
Almost Christmas,(2016),55,"41,715,860"
The Hours,(2002),80,"41,675,994"
Orphan,(2009),42,"41,596,251"
Bandits,(2001),60,"41,575,141"
High Crimes,(2002),48,"41,543,207"
Secondhand Lions,(2003),52,"41,407,470"
About a Boy,(2002),75,"41,385,278"
Gosford Park,(2001),90,"41,308,615"
A Walk to Remember,(2002),35,"41,227,069"
Valerian and the City of a Thousand Planets,(2017),51,"41,189,488"
What to Expect When You're Expecting,(2012),41,"41,152,203"
The Last Exorcism,(2010),63,"41,034,350"
Orange County,(2002),48,"41,032,915"
Money Monster,(2016),55,"41,012,075"
John Tucker Must Die,(2006),41,"41,011,711"
End of Watch,(2012),68,"41,003,371"
The Ides of March,(2011),67,"40,962,534"
Windtalkers,(2002),51,"40,914,068"
Out of Time,(I) (2003),63,"40,905,277"
The Star,(2017),42,"40,852,824"
"Love, Simon",(2018),72,"40,826,341"
Truth or Dare,(I) (2018),35,"40,717,020"
Max Payne,(2008),31,"40,689,393"
Little,(I) (2019),49,"40,673,960"
Duplicity,(2009),69,"40,572,825"
Ghost in the Shell,(2017),52,"40,533,014"
Breakthrough,(I) (2019),46,"40,458,283"
Paddington 2,(2017),88,"40,442,052"
Blue Crush,(2002),61,"40,390,647"
The Master of Disguise,(2002),12,"40,363,530"
Heartbreakers,(2001),47,"40,336,607"
I Am Sam,(2001),28,"40,311,852"
Hanna,(2011),65,"40,259,119"
Bridget Jones: The Edge of Reason,(2004),44,"40,226,215"
There Will Be Blood,(2007),93,"40,222,514"
Hardball,(2001),48,"40,219,708"
Catwoman,(2004),27,"40,202,379"
Legion,(2010),32,"40,168,080"
Stranger Than Fiction,(2006),67,"40,137,776"
Resident Evil,(2002),33,"40,119,709"
The Wild Thornberrys Movie,(2002),69,"40,108,697"
Righteous Kill,(2008),36,"40,081,410"
Collateral Damage,(2002),33,"40,077,257"
Allied,(2016),60,"40,069,087"
You Got Served,(2004),37,"40,066,497"
A Haunted House,(2013),20,"40,041,683"
Enough,(I) (2002),25,"40,007,742"
The Illusionist,(2006),68,"39,868,642"
The Ladykillers,(2004),56,"39,799,191"
The Beach,(I) (2000),43,"39,785,027"
Epic Movie,(2007),17,"39,739,367"
Hitman,(I) (2007),35,"39,687,694"
30 Days of Night,(2007),53,"39,568,996"
The Texas Chainsaw Massacre: The Beginning,(2006),30,"39,517,763"
Little Nicky,(2000),38,"39,464,775"
Crazy Heart,(2009),83,"39,462,438"
Burlesque,(I) (2010),47,"39,440,655"
Rugrats Go Wild,(2003),38,"39,399,750"
Body of Lies,(2008),57,"39,394,666"
The Expendables 3,(2014),35,"39,322,544"
Second Act,(2018),46,"39,282,227"
Lakeview Terrace,(2008),47,"39,263,506"
Pitch Black,(2000),49,"39,240,659"
The Adventures of Sharkboy and Lavagirl 3-D,(2005),38,"39,177,684"
King Arthur: Legend of the Sword,(2017),41,"39,175,066"
The Grudge 2,(2006),33,"39,143,839"
The Crazies,(2010),55,"39,123,589"
Something Borrowed,(2011),36,"39,046,489"
Fracture,(2007),68,"39,015,018"
The Sisterhood of the Traveling Pants,(2005),66,"39,008,741"
Earth to Echo,(2014),53,"38,916,903"
Stardust,(2007),66,"38,634,938"
Surrogates,(2009),45,"38,577,772"
Nerve,(I) (2016),58,"38,562,379"
Sex Tape,(2014),36,"38,543,473"
Spy Kids 4-D: All the Time in the World,(2011),37,"38,538,188"
Rock of Ages,(2012),47,"38,518,613"
Gridiron Gang,(2006),52,"38,432,823"
Pride & Prejudice,(2005),82,"38,405,088"
47 Ronin,(2013),28,"38,362,475"
Last Holiday,(2006),52,"38,360,195"
Evolution,(2001),40,"38,345,494"
Not Another Teen Movie,(2001),32,"38,252,284"
Meet the Spartans,(2008),9,"38,233,676"
Undercover Brother,(2002),69,"38,230,435"
Scream 4,(2011),52,"38,180,928"
Treasure Planet,(2002),60,"38,176,783"
Ninja Assassin,(2009),34,"38,105,077"
Harold & Kumar Escape from Guantanamo Bay,(2008),57,"38,087,366"
Showtime,(2002),32,"38,082,712"
Jigsaw,(I) (2017),39,"38,052,832"
40 Days and 40 Nights,(2002),53,"37,950,822"
First Sunday,(2008),41,"37,931,869"
The Brothers Grimm,(2005),51,"37,916,267"
"Big Mommas: Like Father, Like Son",(2011),22,"37,915,414"
Jeepers Creepers,(2001),49,"37,904,175"
Wild,(I) (2014),76,"37,880,356"
Bedazzled,(2000),49,"37,879,996"
Head of State,(2003),44,"37,788,228"
The Secret Life of Bees,(2008),57,"37,766,350"
Sky Captain and the World of Tomorrow,(2004),64,"37,760,080"
Autumn in New York,(2000),24,"37,752,931"
August: Osage County,(2013),58,"37,738,503"
For Colored Girls,(2010),50,"37,721,949"
Philomena,(2013),77,"37,707,719"
Red Riding Hood,(2011),29,"37,662,162"
Pan's Labyrinth,(2006),98,"37,634,615"
The Nativity Story,(2006),52,"37,629,831"
Good Boy!,(2003),49,"37,566,230"
In Time,(2011),53,"37,520,095"
Abraham Lincoln: Vampire Hunter,(2012),42,"37,519,139"
Invictus,(2009),74,"37,491,364"
The Back-up Plan,(2010),34,"37,490,007"
Raising Helen,(2004),38,"37,486,138"
Man of the Year,(2006),39,"37,442,180"
The Longest Ride,(2015),33,"37,432,299"
Paul,(2011),57,"37,412,945"
Lawless,(2012),58,"37,400,127"
The Wild,(2006),47,"37,384,046"
J. Edgar,(2011),59,"37,306,030"
The Roommate,(I) (2011),23,"37,300,107"
Jumping the Broom,(2011),56,"37,295,394"
Crossroads,(I) (2002),27,"37,191,304"
28 Days,(2000),46,"37,170,488"
The Guilt Trip,(2012),50,"37,134,215"
The Change-Up,(2011),39,"37,081,475"
30 Minutes or Less,(2011),49,"37,053,924"
Keeping the Faith,(2000),60,"37,047,880"
The Family That Preys,(2008),49,"37,019,849"
State of Play,(2009),64,"37,017,955"
Clockstoppers,(2002),40,"36,985,501"
That's My Boy,(2012),31,"36,931,089"
Uptown Girls,(2003),33,"36,922,190"
The Family,(I) (2013),42,"36,918,811"
Matchstick Men,(2003),61,"36,906,460"
16 Blocks,(2006),63,"36,883,539"
Risen,(2016),51,"36,874,745"
Kiss of the Dragon,(2001),58,"36,845,124"
Notorious,(2009),60,"36,842,118"
The Brave One,(2007),56,"36,793,804"
The Heartbreak Kid,(2007),46,"36,787,257"
Bounce,(2000),52,"36,779,296"
Recess: School's Out,(2001),43,"36,696,761"
Vampires Suck,(2010),18,"36,661,504"
Taxi,(I) (2004),27,"36,611,066"
Freedom Writers,(2007),64,"36,605,602"
Million Dollar Arm,(2014),56,"36,447,959"
Sucker Punch,(2011),33,"36,392,502"
Beauty Shop,(2005),53,"36,351,350"
The Commuter,(I) (2018),56,"36,343,858"
Accepted,(2006),47,"36,323,505"
Death Race,(2008),43,"36,316,032"
The Sentinel,(2006),49,"36,280,697"
The Nice Guys,(2016),70,"36,261,763"
The 15:17 to Paris,(2018),45,"36,250,957"
American Assassin,(2017),45,"36,249,674"
Mile 22,(2018),38,"36,108,758"
Walking with Dinosaurs 3D,(2013),37,"36,076,121"
Hanging Up,(2000),33,"36,050,230"
Derailed,(I) (2005),40,"36,024,076"
What a Girl Wants,(2003),41,"35,990,505"
In the Bedroom,(2001),86,"35,930,604"
The Pink Panther 2,(2009),36,"35,922,978"
The Theory of Everything,(2014),72,"35,893,537"
Alpha,(2018),63,"35,851,379"
The Island,(2005),50,"35,818,913"
The Boy,(2016),42,"35,794,166"
National Security,(2003),31,"35,764,982"
Trouble with the Curve,(2012),58,"35,763,137"
The Mothman Prophecies,(2002),52,"35,746,370"
Changeling,(2008),63,"35,739,802"
Jeepers Creepers 2,(2003),36,"35,667,218"
Smokin' Aces,(2006),45,"35,662,731"
Larry Crowne,(2011),41,"35,608,245"
The American,(2010),61,"35,606,376"
Children of Men,(2006),84,"35,552,383"
Dirty Grandpa,(2016),21,"35,537,564"
The Ringer,(2005),46,"35,424,335"
Peppermint,(2018),29,"35,418,723"
The Boy Next Door,(2015),30,"35,385,560"
The Messengers,(2007),34,"35,374,833"
The Watch,(I) (2012),36,"35,353,000"
Intolerable Cruelty,(2003),71,"35,327,628"
Frankenweenie,(2012),74,"35,291,068"
The Flintstones in Viva Rock Vegas,(2000),27,"35,268,275"
Carrie,(2013),53,"35,266,619"
K-19: The Widowmaker,(2002),58,"35,168,966"
Star Wars: The Clone Wars,(2008),35,"35,161,554"
Deck the Halls,(2006),28,"35,092,918"
Pan,(2015),36,"35,088,320"
The Hot Chick,(2002),29,"35,081,594"
Step Up Revolution,(2012),43,"35,074,677"
Drive,(I) (2011),78,"35,060,689"
Green Zone,(2010),63,"35,053,660"
A Very Harold & Kumar 3D Christmas,(2011),61,"35,033,759"
Good Deeds,(2012),43,"35,025,791"
50/50,(2011),72,"35,014,192"
The Skulls,(2000),24,"35,007,180"
The Intruder,(I) (2019),39,"34,951,626"
Good Luck Chuck,(2007),19,"34,925,283"
The 5th Wave,(2016),33,"34,912,982"
Ouija: Origin of Evil,(2016),65,"34,904,885"
Take the Lead,(2006),55,"34,742,066"
Hostage,(2005),44,"34,639,939"
The 6th Day,(2000),49,"34,604,280"
Cradle 2 the Grave,(2003),36,"34,604,054"
Thirteen Days,(2000),67,"34,592,089"
Concussion,(2015),55,"34,531,832"
Courageous,(2011),42,"34,522,221"
Hot Pursuit,(2015),31,"34,507,079"
The Hustle,(2019),35,"34,498,565"
Monster,(2003),74,"34,469,210"
Eternal Sunshine of the Spotless Mind,(2004),89,"34,400,301"
The Foreigner,(I) (2017),55,"34,393,507"
Inferno,(I) (2016),42,"34,343,574"
Malibu's Most Wanted,(2003),43,"34,308,901"
Babel,(I) (2006),69,"34,302,837"
Alexander,(2004),39,"34,297,191"
This Is Where I Leave You,(2014),44,"34,290,142"
The Favourite,(2018),90,"34,243,870"
The Hunted,(2003),40,"34,238,611"
The Reader,(2008),58,"34,194,407"
My Dog Skip,(2000),61,"34,099,640"
Snakes on a Plane,(2006),58,"34,020,814"
The Duff,(2015),56,"34,017,854"
Death Wish,(2018),31,"34,017,028"
"Everything, Everything",(2017),52,"34,000,284"
Closer,(I) (2004),65,"33,987,757"
All About Steve,(2009),17,"33,860,010"
Stuck on You,(2003),62,"33,832,741"
Wind River,(2017),73,"33,800,859"
Where the Heart Is,(2000),30,"33,771,174"
Dreamcatcher,(2003),35,"33,715,436"
Geostorm,(2017),21,"33,700,160"
The Punisher,(2004),33,"33,682,273"
Marmaduke,(2010),30,"33,644,788"
The Gambler,(III) (2014),55,"33,631,221"
R.I.P.D.,(2013),25,"33,618,855"
Flags of our Fathers,(2006),79,"33,602,376"
Devil,(2010),44,"33,583,175"
The Constant Gardener,(2005),82,"33,579,797"
The Spy Who Dumped Me,(2018),52,"33,562,069"
I Spy,(2002),35,"33,561,137"
Pay It Forward,(2000),40,"33,519,628"
Semi-Pro,(2008),47,"33,472,850"
Fireproof,(2008),28,"33,456,317"
Black Knight,(2001),32,"33,422,806"
Doubt,(I) (2008),68,"33,422,556"
Blue Jasmine,(2013),78,"33,405,481"
Halloween II,(2009),35,"33,392,973"
Monster Trucks,(2016),41,"33,370,166"
See Spot Run,(2001),24,"33,357,476"
The Informant!,(2009),66,"33,313,582"
Mr. Bean's Holiday,(2007),56,"33,302,167"
Breach,(2007),74,"33,231,264"
Zodiac,(2007),78,"33,080,084"
The Second Best Exotic Marigold Hotel,(2015),51,"33,078,266"
The Rite,(2011),38,"33,047,633"
Arthur,(I) (2011),36,"33,035,397"
Dracula 2000,(2000),26,"33,022,767"
Friday After Next,(2002),35,"32,983,713"
In Her Shoes,(2005),60,"32,880,591"
Bad News Bears,(2005),65,"32,868,349"
Drillbit Taylor,(2008),41,"32,853,640"
Balls of Fury,(2007),38,"32,844,290"
Dark Phoenix,(2019),43,"32,828,348"
Ma,(2019),53,"32,775,765"
Team America: World Police,(2004),64,"32,774,834"
Hereafter,(2010),56,"32,746,941"
Annihilation,(2018),79,"32,732,301"
The Last House on the Left,(2009),42,"32,721,635"
Dreamer: Inspired by a True Story,(2005),59,"32,701,088"
Taking Lives,(2004),38,"32,682,342"
When in Rome,(2010),25,"32,669,555"
Return to Me,(2000),54,"32,662,299"
Because of Winn-Dixie,(2005),54,"32,645,546"
Just Friends,(I) (2005),47,"32,619,671"
Driven,(2001),29,"32,616,869"
Proof of Life,(2000),45,"32,598,931"
Darkness Falls,(2003),23,"32,551,396"
Bend It Like Beckham,(2002),66,"32,543,449"
Almost Famous,(2000),90,"32,534,850"
Unfriended,(2014),59,"32,482,090"
Mother's Day,(I) (2016),18,"32,463,917"
Paranormal Activity: The Marked Ones,(2014),42,"32,462,372"
The Men Who Stare at Goats,(2009),54,"32,416,109"
500 Days of Summer,(2009),76,"32,391,374"
Nightcrawler,(2014),76,"32,381,218"
Love & Other Drugs,(2010),55,"32,367,005"
Entourage,(2015),38,"32,361,416"
Anacondas: The Hunt for the Blood Orchid,(2004),40,"32,238,923"
The Love Guru,(2008),24,"32,235,793"
Fist Fight,(2017),37,"32,187,017"
Side Effects,(I) (2013),75,"32,172,757"
Cold Pursuit,(2019),57,"32,138,862"
Final Fantasy: The Spirits Within,(2001),49,"32,131,830"
Analyze That,(2002),37,"32,122,249"
Stealth,(2005),35,"32,116,746"
What's the Worst That Could Happen?,(2001),37,"32,095,318"
How to Be a Latin Lover,(2017),54,"32,088,029"
House of Wax,(2005),41,"32,064,800"
Mr. Magorium's Wonder Emporium,(2007),48,"32,061,555"
Scary Movie 5,(2013),11,"32,015,787"
Isle of Dogs,(2018),82,"32,015,231"
Cellular,(2004),60,"32,003,620"
Paper Towns,(2015),56,"32,000,304"
"Definitely, Maybe",(2008),59,"31,973,840"
Patriots Day,(2016),69,"31,886,361"
Murder by Numbers,(2002),50,"31,874,869"
Extremely Loud & Incredibly Close,(2011),46,"31,847,881"
Milk,(I) (2008),84,"31,841,299"
Push,(2009),36,"31,806,100"
9,(I) (2009),60,"31,743,332"
The Wedding Date,(2005),32,"31,726,995"
Transporter 3,(2008),51,"31,715,062"
Nobody's Fool,(2018),39,"31,713,110"
Quarantine,(2008),53,"31,691,811"
The Soloist,(2009),61,"31,670,931"
August Rush,(2007),38,"31,655,091"
House at the End of the Street,(2012),31,"31,611,916"
From Hell,(2001),54,"31,602,566"
One Hour Photo,(2002),64,"31,597,131"
She's Out of My League,(2010),46,"31,584,722"
Chappie,(2015),41,"31,569,268"
United 93,(2006),90,"31,567,134"
"Good Night, and Good Luck.",(2005),80,"31,501,218"
Scott Pilgrim vs. the World,(2010),69,"31,494,270"
A History of Violence,(2005),81,"31,493,782"
Nick and Norah's Infinite Playlist,(2008),64,"31,487,293"
Zack and Miri Make a Porno,(2008),56,"31,457,946"
Adrift,(I) (2018),56,"31,445,012"
The Eye,(2008),36,"31,418,697"
Daddy's Little Girls,(2007),49,"31,339,647"
Monster's Ball,(2001),69,"31,252,964"
Leatherheads,(2008),56,"31,199,215"
The Core,(2003),48,"31,186,896"
Johnson Family Vacation,(2004),29,"31,179,516"
The Debt,(I) (2010),65,"31,177,548"
The Mortal Instruments: City of Bones,(2013),33,"31,165,421"
Charlie St. Cloud,(2010),37,"31,162,545"
How High,(2001),29,"31,155,435"
Gods of Egypt,(2016),25,"31,153,464"
Crimson Peak,(2015),66,"31,056,945"
The Pirates! Band of Misfits,(2012),73,"31,051,126"
Calendar Girls,(2003),60,"31,041,759"
Morning Glory,(2010),57,"31,011,732"
Collateral Beauty,(2016),23,"30,982,955"
Get Rich or Die Tryin',(2005),45,"30,981,850"
Joyful Noise,(2012),44,"30,920,167"
Robin Hood,(2018),32,"30,824,628"
Kidnap,(2017),44,"30,718,107"
3 Days to Kill,(2014),40,"30,697,999"
The Legend of Bagger Vance,(2000),47,"30,695,227"
Mirrors,(I) (2008),35,"30,691,439"
Delivery Man,(2013),44,"30,664,106"
Chef,(2014),68,"30,640,336"
Super Troopers 2,(2018),41,"30,617,396"
Open Water,(2003),63,"30,610,863"
Deliver Us from Evil,(I) (2014),40,"30,577,122"
Holmes & Watson,(2018),24,"30,573,626"
Slender Man,(2018),30,"30,569,484"
The Sitter,(2011),39,"30,538,669"
Get on Up,(2014),71,"30,513,940"
Halloween: Resurrection,(2002),19,"30,354,442"
The Mountain Between Us,(2017),48,"30,348,555"
Underworld: Blood Wars,(2016),23,"30,348,260"
Queen of the Damned,(2002),30,"30,336,800"
Snatch,(2000),55,"30,328,156"
The Banger Sisters,(2002),48,"30,307,416"
The Fighting Temptations,(2003),53,"30,238,577"
Life,(I) (2017),54,"30,234,022"
The Great Debaters,(2007),65,"30,226,144"
Honey,(2003),37,"30,222,640"
How Do You Know,(2010),46,"30,212,620"
The Art of War,(2000),30,"30,208,599"
Long Shot,(2019),67,"30,170,007"
Riding in Cars with Boys,(2001),43,"30,165,536"
Bad Company,(2002),37,"30,160,161"
When the Game Stands Tall,(2014),41,"30,127,963"
Ghost Ship,(2002),28,"30,113,491"
Space Chimps,(2008),36,"30,105,968"
Daybreakers,(2009),57,"30,101,577"
"Hail, Caesar!",(2016),72,"30,080,225"
Dragonfly,(2002),25,"30,063,805"
Jay and Silent Bob Strike Back,(2001),51,"30,059,386"
The Bank Job,(2008),69,"30,028,592"
"I, Tonya",(2017),77,"30,014,539"
Hollywood Homicide,(2003),47,"30,013,346"
Hostiles,(2017),65,"29,819,114"
Grudge Match,(2013),35,"29,807,260"
The Hate U Give,(2018),81,"29,719,483"
When the Bough Breaks,(2016),28,"29,703,843"
Did You Hear About the Morgans?,(2009),27,"29,580,087"
Teen Titans Go! To the Movies,(2018),69,"29,562,341"
The Fog,(2005),27,"29,511,112"
A Walk in the Woods,(2015),51,"29,467,855"
Bless the Child,(2000),17,"29,374,178"
Confessions of a Teenage Drama Queen,(2004),33,"29,331,068"
Zathura: A Space Adventure,(2005),67,"29,258,869"
Nanny McPhee Returns,(2010),52,"29,197,642"
Priest,(2011),41,"29,136,626"
The Mechanic,(2011),49,"29,121,498"
Rent,(2005),53,"29,077,547"
The Stepfather,(2009),33,"29,062,561"
The New Guy,(2002),24,"28,972,187"
The Watcher,(I) (2000),22,"28,927,720"
Zoolander 2,(2016),34,"28,848,693"
The Five-Year Engagement,(2012),62,"28,835,528"
Draft Day,(I) (2014),54,"28,831,145"
Kick-Ass 2,(2013),41,"28,795,985"
Point Break,(2015),34,"28,782,481"
Molly's Game,(2017),71,"28,780,744"
Capote,(2005),88,"28,747,570"
Baby Boy,(2001),55,"28,734,552"
Untraceable,(2008),32,"28,687,835"
Defiance,(I) (2008),58,"28,644,813"
The Uninvited,(2009),43,"28,573,173"
Swimfan,(2002),29,"28,563,926"
We Own the Night,(2007),59,"28,563,179"
Brothers,(I) (2009),58,"28,501,651"
Mr. Brooks,(2007),45,"28,476,219"
Employee of the Month,(2006),36,"28,435,406"
Garfield 2,(2006),37,"28,426,747"
The Crocodile Hunter: Collision Course,(2002),50,"28,399,192"
After the Sunset,(2004),38,"28,328,132"
The Prince and Me,(2004),47,"28,176,497"
The Ant Bully,(2006),59,"28,142,535"
Abduction,(I) (2011),25,"28,087,155"
Johnny English,(2003),51,"28,082,366"
Happy Death Day 2U,(2019),57,"28,051,045"
Doom,(2005),34,"28,031,250"
Beastly,(2011),40,"27,865,571"
Moonlight,(I) (2016),99,"27,850,912"
Crank,(2006),57,"27,829,874"
The Majestic,(2001),27,"27,807,266"
Logan Lucky,(2017),78,"27,780,977"
Rings,(2017),25,"27,780,085"
The Switch,(I) (2010),52,"27,758,465"
Sinister 2,(2015),32,"27,736,779"
Oculus,(I) (2013),61,"27,695,246"
Saw VI,(2009),30,"27,693,292"
Hannibal Rising,(2007),35,"27,670,986"
The Finest Hours,(2016),58,"27,550,735"
The Brothers,(2001),50,"27,457,409"
Love & Basketball,(2000),70,"27,441,122"
The Last Witch Hunter,(2015),34,"27,367,660"
Brown Sugar,(2002),58,"27,362,712"
Someone Like You...,(2001),32,"27,338,033"
Dallas Buyers Club,(2013),84,"27,298,285"
No Escape,(I) (2015),38,"27,285,953"
High Fidelity,(2000),79,"27,277,055"
Brooklyn's Finest,(2009),43,"27,154,426"
Cloud Atlas,(2012),55,"27,108,272"
Joe Dirt,(2001),20,"27,087,695"
The Musketeer,(2001),27,"27,073,640"
Home Again,(2017),41,"27,020,284"
Rush,(I) (2013),75,"26,947,624"
The Women,(I) (2008),27,"26,902,075"
The Missing,(I) (2003),55,"26,900,336"
One Missed Call,(2008),24,"26,876,529"
xXx: State of the Union,(2005),37,"26,873,932"
Stick It,(2006),53,"26,870,825"
Hell or High Water,(II) (2016),88,"26,862,450"
Elizabethtown,(2005),45,"26,838,389"
Resident Evil: The Final Chapter,(2016),49,"26,830,068"
Ricki and the Flash,(2015),54,"26,822,144"
The Other Boleyn Girl,(2008),50,"26,814,957"
Garden State,(2004),67,"26,782,316"
The Best of Me,(2014),29,"26,761,283"
Winnie the Pooh,(2011),74,"26,692,846"
Superhero Movie,(2008),33,"26,638,520"
The Host,(2013),35,"26,627,201"
Machete,(2010),60,"26,593,646"
The Forest,(I) (2016),34,"26,583,369"
Basic,(2003),34,"26,536,120"
The Woman in Black 2: Angel of Death,(2014),42,"26,496,583"
Sinbad: Legend of the Seven Seas,(2003),48,"26,483,452"
Run All Night,(2015),59,"26,442,251"
Book of Shadows: Blair Witch 2,(2000),15,"26,437,094"
Street Kings,(2008),55,"26,415,649"
One for the Money,(2012),22,"26,414,527"
Ben-Hur,(2016),38,"26,384,681"
A Walk Among the Tombstones,(2014),57,"26,307,600"
Love the Coopers,(2015),31,"26,284,475"
Dumb and Dumberer: When Harry Met Lloyd,(2003),19,"26,276,465"
The Wrestler,(2008),81,"26,236,603"
Blood Work,(2002),64,"26,199,517"
A Man Apart,(2003),36,"26,183,197"
Ramona and Beezus,(2010),56,"26,161,406"
That Awkward Moment,(2014),36,"26,049,082"
Searching,(III) (2018),71,"26,020,957"
The World's End,(2013),81,"26,004,851"
The Adventures of Rocky & Bullwinkle,(2000),36,"26,000,610"
Shutter,(I) (2008),37,"25,926,543"
The Nanny Diaries,(2007),46,"25,925,170"
Leap Year,(2010),33,"25,918,920"
Alex Cross,(2012),30,"25,888,412"
