Artist,Song,Date,Current Rank,Last Weeks Position,Weeks on Chart,Peak Position
The Elegants,Little Star,1958-09-01,2,1,1,5
The Everly Brothers,Bird Dog,1958-09-01,3,3,3,5
Jimmy Clanton And His Rockets,Just A Dream,1958-09-01,4,4,4,5
Ricky Nelson,Poor Little Fool,1958-09-01,5,6,1,5
Perez Prado And His Orchestra,Patricia,1958-09-01,6,7,2,5
Jack Scott,My True Love,1958-09-01,7,5,3,5
Kalin Twins,When,1958-09-01,8,10,5,5
Frankie Avalon,Ginger Bread,1958-09-01,9,17,9,5
Jimmie Rodgers,Are You Really Mine,1958-09-01,10,20,10,5
Poni-Tails,Born Too Late,1958-09-01,11,8,8,5
Peggy Lee,Fever,1958-09-01,12,8,8,5
Duane Eddy His Twangy Guitar And The Rebels,Rebel-'rouser,1958-09-01,13,11,6,5
The Olympics,Western Movies,1958-09-01,14,13,13,5
Dean Martin,Volare (Nel Blu Dipinto Di Blu),1958-09-01,15,19,15,5
The Johnny Otis Show,Willie And The Hand Jive,1958-09-01,16,12,9,5
