Area Name,"Population figures
 (mid-2017)3  rounded to 100","Household figures
 (mid-2017)4  rounded to 100 ",,Total recorded crime (excluding fraud5),,Violence against the person,Homicide,Violence with injury,Violence without injury,"Stalking
and harassment",Death or serious injury - unlawful driving,Sexual offences,Robbery,Theft offences,Burglary,"Residential burglary6,7,8","Residential burglary (households) 6,7,9","Non-residential burglary7,8",Vehicle offences,Theft from the person,Bicycle theft,Shoplifting,All other theft offences,Criminal damage and arson,Drug offences,Possession of weapons offences,Public order offences,Miscellaneous crimes against society
West Midlands," 2,897,300 "," 1,127,700 ",, 87.2 ,, 24.3 , 0.0 , 10.5 , 8.6 , 5.2 , 0.0 , 2.4 , 2.8 , 40.4 , 10.3 , 7.6 , 19.6 , 2.7 , 12.9 , 1.1 , 1.1 , 6.5 , 8.5 , 8.9 , 1.6 , 0.8 , 4.8 , 1.3 
Bedfordshire," 664,600 "," 262,900 ",, 83.0 ,, 22.1 , 0.0 , 7.3 , 9.4 , 5.4 , 0.0 , 2.4 , 1.2 , 38.6 , 9.7 , 6.7 , 17.0 , 2.9 , 11.6 , 1.2 , 2.0 , 6.0 , 8.2 , 9.2 , 2.0 , 0.6 , 5.4 , 1.5 
Cambridgeshire," 847,200 "," 339,200 ",, 75.2 ,, 20.1 , 0.0 , 6.0 , 10.6 , 3.5 , 0.0 , 2.3 , 0.9 , 34.4 , 6.4 , 4.2 , 10.6 , 2.2 , 7.2 , 1.2 , 5.0 , 6.0 , 8.6 , 8.8 , 1.6 , 0.6 , 4.9 , 1.6 
Essex," 1,820,400 "," 753,900 ",, 83.0 ,, 28.9 , 0.0 , 7.9 , 11.0 , 10.0 , 0.0 , 2.2 , 0.9 , 30.5 , 6.7 , 4.8 , 11.7 , 1.9 , 8.4 , 0.8 , 1.2 , 5.9 , 7.5 , 8.7 , 2.1 , 1.2 , 6.7 , 1.8 
Hertfordshire," 1,180,900 "," 480,700 ",, 72.3 ,, 21.2 , 0.0 , 7.4 , 9.5 , 4.3 , 0.0 , 1.9 , 0.7 , 30.3 , 5.6 , 4.1 , 9.9 , 1.5 , 7.7 , 1.2 , 1.2 , 7.3 , 7.4 , 7.8 , 2.7 , 0.6 , 5.5 , 1.5 
Norfolk," 898,400 "," 388,600 ",, 65.6 ,, 23.4 , 0.0 , 7.7 , 11.1 , 4.6 , 0.0 , 2.8 , 0.5 , 19.9 , 3.9 , 2.5 , 5.9 , 1.4 , 3.1 , 0.6 , 1.4 , 4.6 , 6.3 , 7.9 , 2.6 , 0.6 , 6.1 , 1.9 
Suffolk," 757,000 "," 324,500 ",, 71.5 ,, 24.7 , 0.0 , 7.4 , 10.9 , 6.3 , 0.0 , 3.0 , 0.6 , 24.1 , 5.4 , 3.6 , 8.3 , 1.9 , 4.8 , 0.7 , 1.5 , 5.5 , 6.2 , 8.6 , 1.7 , 0.6 , 6.7 , 1.4 
City of London12," 7,700 "," 3,700 ",, + ,, + , + , + , + , + , + , + , + , + , + , + , 4.1 , + , + , + , + , + , + , + , + , + , + , + 
Metropolitan Police," 8,817,300 "," 3,477,000 ",, 94.7 ,, 23.9 , 0.0 , 8.7 , 9.6 , 5.5 , 0.0 , 2.3 , 3.8 , 46.9 , 9.1 , 6.8 , 17.2 , 2.4 , 12.8 , 4.9 , 2.2 , 5.0 , 12.9 , 6.4 , 4.0 , 0.8 , 5.5 , 1.1 
Hampshire," 1,978,800 "," 824,800 ",, 80.6 ,, 28.0 , 0.0 , 10.8 , 12.2 , 4.9 , 0.0 , 2.8 , 0.6 , 28.2 , 5.8 , 3.8 , 9.2 , 2.0 , 6.4 , 0.6 , 1.9 , 6.6 , 6.9 , 9.4 , 1.9 , 0.8 , 7.5 , 1.3 
